15	20083741	20083983	21577
15	20084060	20084290	34190
15	20086385	20086627	15152
15	20087477	20087718	35848
15	20090202	20090346	4112
15	20092964	20093085	9483
15	20169885	20170246	49438
15	20170270	20170391	15214
15	20178006	20178127	15630
15	20178387	20178508	15310
15	20217932	20218053	22260
15	20278993	20279384	79505
15	20315921	20316042	12471
15	20316678	20316888	26591
15	20317576	20317697	8293
15	20327303	20327422	52896
15	20328098	20328220	58209
15	20359830	20359971	30151
15	20362642	20363158	156653
15	20363337	20363458	41053
15	20364243	20364469	33395
15	20365384	20365484	24563
15	20365903	20366079	20238
15	20370385	20370486	9333
15	20433869	20434130	35442
15	20444654	20444852	31350
15	20445948	20446095	12860
15	20448087	20448211	12758
15	20450132	20450459	42034
15	20453917	20454097	15108
15	20456629	20456786	24059
15	20457168	20457383	34697
15	20462537	20462704	12167
15	20467084	20467184	9684
15	20487542	20487643	1362
15	20488739	20488950	21770
15	20489316	20489495	21748
15	20490497	20490598	27795
15	20495253	20495466	68802
15	20496591	20496691	9461
15	20535838	20535960	49841
15	20536637	20536759	30757
15	20588525	20588766	10983
15	20613905	20614005	3023
15	20635426	20635527	13126
15	20636295	20636536	37272
15	20641052	20641293	61001
15	20642494	20642735	43378
15	20643835	20644115	59243
15	20644156	20644397	49603
15	20644713	20644954	69076
15	20645689	20645931	66988
15	20648561	20648819	39520
15	20649454	20649696	68703
15	20651084	20651325	61633
15	20657595	20657836	67474
15	20658558	20658799	30774
15	20658822	20659298	80405
15	20659738	20659965	66678
15	20662534	20662775	94145
15	20662788	20663266	141274
15	20663471	20663713	88199
15	20666398	20666639	48048
15	20667550	20667707	25185
15	20668017	20668254	73396
15	20669289	20669389	25405
15	20671447	20671623	42612
15	20682123	20682244	39152
15	20688591	20688772	37170
15	20710618	20710739	25774
15	20721603	20721704	4666
15	20723881	20724108	35490
15	20724244	20724345	24215
15	20725690	20725863	27637
15	20733077	20733178	21225
15	20737959	20738401	158480
15	20738767	20738888	31938
15	20739389	20741038	821202
15	20741571	20741812	83433
15	20742061	20742183	17252
15	20743461	20743703	102634
15	20743717	20743838	28329
15	20743877	20743999	46151
15	20744993	20745235	67276
15	20746765	20747132	104940
15	20767760	20767881	61420
15	20769481	20769707	87218
15	20770227	20770327	30281
15	20770391	20770632	97769
15	20771384	20771505	30185
15	20771701	20771822	59715
15	20771855	20771976	56714
15	20771988	20772229	68781
15	20773169	20773303	45417
15	20773313	20773513	61695
15	20773666	20773787	21284
15	20774087	20774438	51172
15	20774637	20774765	37457
15	20775741	20775905	40257
15	20776078	20776228	44101
15	20776593	20776714	17186
15	20776955	20777171	33195
15	20777229	20777590	114388
15	20777596	20777838	75468
15	20777850	20778092	58406
15	20810831	20810983	25231
15	20811252	20811361	220
15	20812244	20812344	345
15	20812444	20812551	849
15	20812740	20812841	1930
15	20813203	20813459	4748
15	20813715	20813942	12660
15	20832063	20832184	20801
15	20832303	20832424	20629
15	20832840	20833942	134137
15	20862975	20863076	5389
15	20867276	20867397	12265
15	20874782	20874974	21817
15	20876441	20876641	17847
15	21008990	21009141	7617
15	21038111	21038211	30127
15	21040704	21040945	42867
15	21042513	21042754	34858
15	21051124	21051365	52530
15	21052334	21052456	41902
15	21053795	21053936	36321
15	21057878	21057999	10375
15	21059359	21059481	25842
15	21061912	21062153	15079
15	21063430	21063556	15414
15	21066336	21066577	52218
15	21066639	21066881	57162
15	21071159	21071650	146949
15	21119387	21119487	14312
15	21122018	21122126	15928
15	21127113	21127247	14433
15	21128490	21128591	3169
15	21129057	21129264	3949
15	21131905	21132006	955
15	21132048	21132149	1593
15	21134192	21134292	6045
15	21134511	21134707	9648
15	21136551	21136651	14645
15	21137106	21137229	8569
15	21137490	21137651	9868
15	21138009	21138354	27787
15	21139829	21139971	37067
15	21140110	21140211	5730
15	21140763	21140896	4339
15	21224655	21224776	14952
15	21236562	21236804	49492
15	21286182	21286573	73036
15	21321237	21321338	1836
15	21322498	21322658	13359
15	21323294	21323755	55892
15	21324192	21324469	19308
15	21324606	21324761	3799
15	21325192	21325293	1272
15	21325322	21325478	2691
15	21334710	21334832	47645
15	21366435	21366576	34291
15	21369249	21369765	92642
15	21369944	21370065	22545
15	21370943	21371076	33997
15	21902933	21903054	41442
15	21937942	21938063	3706
15	22013121	22013242	8515
15	22015773	22015894	5163
15	22049261	22049361	30349
15	22051856	22052097	40900
15	22053663	22053904	35092
15	22062278	22062519	18849
15	22063488	22063610	43279
